period,partner_country,flow,qty_kg,value_usd
2025,Saint Lucia,export,25000.0,40409.752
2025,Saudi Arabia,export,14264727.0,22932891.994
2025,Saudi Arabia,import,665046845.512,685231830.28
2025,Senegal,export,795451.0,1042583.485
2025,Senegal,import,100.0,309.952
2025,Serbia,export,1075.0,99.366
2025,Serbia,import,22500.0,30766.813
2025,Seychelles,export,782.0,905.883
2025,Sierra Leone,export,185950.0,181428.383
2025,Sierra Leone,import,94400.0,38273.073
2025,Singapore,export,27042.0,108432.863
2025,Singapore,import,260250342.0,321934770.735
2025,Slovakia,export,10800.0,18113.411
2025,Slovakia,import,75.0,1121.891
2025,Slovenia,export,100.0,171.983
2025,Slovenia,import,23634.0,11041.021
2025,Solomon Isds,export,1.0,0.993
2025,Somalia,export,238000.0,355987.87
2025,South Africa,export,871378.0,1347605.366
2025,South Africa,import,2042573.0,2306770.495
2025,Spain,export,714331.0,1092205.475
2025,Spain,import,27295779.0,42149884.069
2025,Sri Lanka,export,2064710.0,2209550.606
2025,Sri Lanka,import,245266.0,176875.925
2025,Sudan,export,5490.0,9368.619
2025,Sweden,export,6720.0,10693.811
2025,Sweden,import,1903025.0,3329143.068
2025,Switzerland,export,3425.0,1644.73
2025,Switzerland,import,62503.0,384747.153
2025,Tajikistan,export,25100.0,44195.274
2025,Thailand,export,431046.0,642593.266
2025,Thailand,import,95732815.0,131053818.602
2025,Togo,export,350214.0,370810.708
2025,Togo,import,54900.0,22054.122
2025,Tonga,export,13375.0,33704.161
2025,Trinidad and Tobago,import,21030.0,11079.086
2025,Tunisia,export,30794.764,75066.606
2025,Türkiye,export,8254057.0,12731852.799
2025,Türkiye,import,356345.0,293893.823
2025,USA,export,1946466.0,3739369.89
2025,USA,import,57412350.0,72800364.714
2025,Uganda,export,140681.0,197442.933
2025,Ukraine,export,67630.0,150653.085
2025,United Arab Emirates,export,24207179.0,32581620.489
2025,United Arab Emirates,import,478276978.0,474994265.316
2025,United Kingdom,export,836432.0,1071762.294
2025,United Kingdom,import,4916449.0,8161276.759
2025,United Rep. of Tanzania,export,13910588.0,14620859.329
2025,Uruguay,export,388875.0,622823.925
2025,Uzbekistan,export,226040.0,376338.977
2025,Venezuela,export,48000.0,104423.32
2025,Viet Nam,export,52081152.0,48146962.908
2025,Viet Nam,import,465219.0,615818.897
2025,Zambia,export,377729.0,377841.836
2025,Zimbabwe,export,5500.0,7567.662
